Año,Trimestre,Banda ancha fija,Dial up,Total,id_provincia
2016,1,174634,179.0,174813,8
2016,1,28313,1.0,28314,9
2016,1,40287,2.0,40289,10
2016,1,65442,487.0,65929,11
2016,1,16673,18.0,16691,12
2016,1,169257,1553.0,170810,13
2016,1,92951,7.0,92958,14
2016,1,101969,2292.0,104261,15
2016,1,98745,1077.0,99822,16
2016,1,102423,3.0,102426,17
2016,1,51373,621.0,51994,18
2016,1,12915,317.0,13232,19
2016,1,25931,356.0,26287,20
2016,1,551378,618.0,551996,21
2016,1,37695,3.0,37698,22
2016,1,29867,619.0,30486,23
2016,1,146596,41.0,146637,24
2015,4,2946743,12642.0,2959385,1
2015,4,1360381,9845.0,1370226,2
2015,4,26459,13.0,26472,3
2015,4,86537,16.0,86553,4
2015,4,62279,1740.0,64019,5
2015,4,625835,235.0,626070,6
2015,4,85409,26.0,85435,7
2015,4,173957,180.0,174137,8
2015,4,28088,1.0,28089,9
2015,4,39922,2.0,39924,10
2015,4,66054,312.0,66366,11
2015,4,16914,18.0,16932,12
2015,4,169251,1556.0,170807,13
2015,4,92846,7.0,92853,14
2015,4,105122,2294.0,107416,15
2015,4,98655,1067.0,99722,16
2015,4,101917,3.0,101920,17
2015,4,51408,621.0,52029,18
2015,4,12901,317.0,13218,19
2015,4,26047,356.0,26403,20
2015,4,561045,627.0,561672,21
2015,4,39132,3.0,39135,22
2015,4,29334,619.0,29953,23
2015,4,146053,42.0,146095,24
2015,3,2916070,12695.0,2928765,1
2015,3,1362193,9875.0,1372068,2
2015,3,26080,13.0,26093,3
2015,3,85354,16.0,85370,4
2015,3,62143,1740.0,63883,5
2015,3,622761,237.0,622998,6
2015,3,84931,28.0,84959,7
2015,3,172252,182.0,172434,8
2015,3,27751,1.0,27752,9
2015,3,39548,2.0,39550,10
2015,3,64976,495.0,65471,11
2015,3,16753,18.0,16771,12
2015,3,169261,1562.0,170823,13
2015,3,91615,7.0,91622,14
2015,3,98376,2240.0,100616,15
2015,3,98529,1085.0,99614,16
2015,3,100570,3.0,100573,17
2015,3,51409,621.0,52030,18
2015,3,12902,317.0,13219,19
2015,3,25912,359.0,26271,20
2015,3,556097,641.0,556738,21
2015,3,39394,3.0,39397,22
2015,3,33118,619.0,33737,23
2015,3,144272,42.0,144314,24
2015,2,2871079,12711.0,2883790,1
2015,2,1336391,9893.0,1346284,2
2015,2,25666,13.0,25679,3
2015,2,83832,16.0,83848,4
2015,2,61745,1740.0,63485,5
2015,2,609510,236.0,609746,6
2015,2,83288,28.0,83316,7
2015,2,169309,183.0,169492,8
2015,2,27013,37.0,27050,9
2015,2,37720,2.0,37722,10
2015,2,63552,500.0,64052,11
2015,2,16491,18.0,16509,12
2015,2,169259,1564.0,170823,13
2015,2,88512,7.0,88519,14
2015,2,95644,2241.0,97885,15
2015,2,97640,1087.0,98727,16
2015,2,98264,3.0,98267,17
2015,2,51367,621.0,51988,18
2015,2,12904,317.0,13221,19
2015,2,25384,379.0,25763,20
2015,2,545739,649.0,546388,21
2015,2,39375,3.0,39378,22
2015,2,32960,619.0,33579,23
2015,2,140635,42.0,140677,24
2015,1,2847076,14766.0,2861842,1
2015,1,1321139,11582.0,1332721,2
2015,1,25312,20.0,25332,3
2015,1,81329,31.0,81360,4
2015,1,63327,1946.0,65273,5
2015,1,596663,294.0,596957,6
2015,1,81488,43.0,81531,7
2015,1,165839,231.0,166070,8
2015,1,26657,43.0,26700,9
2015,1,36608,3.0,36611,10
2015,1,62155,542.0,62697,11
2015,1,16310,23.0,16333,12
2015,1,168355,1805.0,170160,13
2015,1,85139,7.0,85146,14
2015,1,93373,2369.0,95742,15
2015,1,96145,1188.0,97333,16
2015,1,96793,18.0,96811,17
2015,1,51117,702.0,51819,18
2015,1,12878,354.0,13232,19
2015,1,26217,424.0,26641,20
2015,1,535640,797.0,536437,21
