Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Unnamed: 13
BUENOS AIRES,Florencio Varela,Florencio Varela,6274010,661,"17,99",30,"23,82",263,4,- 0,810,"43,58",
BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,6274010,13,"7,37",6,487,- 0,- 0,- 0,- 0,"7,88",
BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,6274010,"2,5","5,17",- 0,907,- 0,- 0,- 0,- 0,"8,58",
BUENOS AIRES,Florencio Varela,La Capilla,6274010,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,4,
BUENOS AIRES,Florencio Varela,la rotonda,6274010,357,- 0,- 0,- 0,- 0,- 0,- 0,- 0,357,
BUENOS AIRES,Florencio Varela,Villa Brown,6274010,- 0,88,- 0,280,- 0,- 0,- 0,- 0,368,
BUENOS AIRES,Florencio Varela,Villa San Luis,6274010,- 0,363,- 0,- 0,- 0,- 0,- 0,- 0,363,
BUENOS AIRES,Florencio Varela,Villa Santa Rosa,6274010,31,"4,06",1,226,- 0,- 0,- 0,- 0,"4,32",
BUENOS AIRES,Florencio Varela,Villa Vatteone,6274010,12,"4,38",1,"2,57",- 0,- 0,- 0,- 0,"6,96",
BUENOS AIRES,Florentino Ameghino,Blaquier,6277010,- 0,- 0,- 0,- 0,- 0,1,- 0,5,6,
